chr_type,enhancer,gene,promoter_up,promoter_down,encode_no
chr5,chr5:169424800-169425600,ENSG00000204767,chr5:169290268-169291267,chr5:169407745-169408744,1
chr7,chr7:132325800-132326800,ENSG00000221866,chr7:131807091-131808090,chr7:132333448-132334447,1
chrX,chrX:122308800-122310400,ENSG00000125675,chrX:122317006-122318005,chrX:122624767-122625766,1
chr14,chr14:21228600-21229800,ENSG00000181562,chr14:21213051-21214050,chr14:21216540-21217539,1
chrX,chrX:113842000-113843600,ENSG00000147246,chrX:113817551-113818550,chrX:114144625-114145624,1
chr14,chr14:38693600-38694400,ENSG00000139874,chr14:38676204-38677203,chr14:38682273-38683272,1
chr2,chr2:170666600-170668200,ENSG00000138385,chr2:170647443-170648442,chr2:170668575-170669574,1
chrX,chrX:21903000-21905400,ENSG00000230797,chrX:21873105-21874104,chrX:21876846-21877845,1
chr12,chr12:11131000-11132400,ENSG00000212126,chr12:11137512-11138511,chr12:11139512-11140511,1
chr12,chr12:1939200-1941400,ENSG00000166159,chr12:1928433-1929432,chr12:1945919-1946918,1
chrX,chrX:149025000-149026200,ENSG00000156009,chrX:149008941-149009940,chrX:149014610-149015609,1
chrX,chrX:150159200-150159400,ENSG00000029993,chrX:150147982-150148981,chrX:150159249-150160248,1
chrX,chrX:57190200-57190800,ENSG00000147059,chrX:57159963-57160962,chrX:57164059-57165058,1
chr7,chr7:132298800-132301200,ENSG00000221866,chr7:131807091-131808090,chr7:132333448-132334447,1
chrX,chrX:35840200-35842000,ENSG00000189023,chrX:35815459-35816458,chrX:35821853-35822852,1
chr3,chr3:172846000-172847000,ENSG00000144962,chr3:172606148-172607147,chr3:172859059-172860058,1
chr17,chr17:26239800-26241600,ENSG00000232859,chr17:26204340-26205339,chr17:26221779-26222778,1
chr20,chr20:42856000-42858400,ENSG00000124194,chr20:42874887-42875886,chr20:42909014-42910013,1
chr7,chr7:33749800-33752000,ENSG00000173862,chr7:33764593-33765592,chr7:33768069-33769068,1
chrX,chrX:103826600-103827200,ENSG00000189108,chrX:103809996-103810995,chrX:105011823-105012822,1
chr7,chr7:132302800-132304600,ENSG00000221866,chr7:131807091-131808090,chr7:132333448-132334447,1
chrX,chrX:105038600-105039200,ENSG00000123572,chrX:105065536-105066535,chrX:105202603-105203602,1
chr1,chr1:165533800-165534600,ENSG00000162763,chr1:165512244-165513243,chr1:165533199-165534198,1
chrX,chrX:130551400-130552200,ENSG00000147255,chrX:130406480-130407479,chrX:130533678-130534677,1
chrX,chrX:110697600-110698400,ENSG00000077279,chrX:110536007-110537006,chrX:110655604-110656603,1
chrX,chrX:113854000-113854200,ENSG00000147246,chrX:113817551-113818550,chrX:114144625-114145624,1
chr19,chr19:8204200-8205200,ENSG00000142449,chr19:8129286-8130285,chr19:8214731-8215730,1
chr5,chr5:55942600-55944800,ENSG00000225940,chr5:55806394-55807393,chr5:55902060-55903059,1
chr8,chr8:133101000-133101800,ENSG00000258417,chr8:133035467-133036466,chr8:133097903-133098902,1
chr11,chr11:113238200-113240000,ENSG00000170209,chr11:113257513-113258512,chr11:113271141-113272140,1
chr17,chr17:26242600-26243600,ENSG00000232859,chr17:26204340-26205339,chr17:26221779-26222778,1
chrX,chrX:131282200-131282400,ENSG00000165694,chrX:131210021-131211020,chrX:131262049-131263048,1
chr7,chr7:6764000-6766400,ENSG00000169402,chr7:6792740-6793739,chr7:6838997-6839996,1
chr5,chr5:135715000-135715800,ENSG00000069018,chr5:135547999-135548998,chr5:135732731-135733730,1
chr15,chr15:54319200-54320200,ENSG00000137766,chr15:54304101-54305100,chr15:54920807-54921806,1
chr11,chr11:64947400-64948400,ENSG00000204710,chr11:64936625-64937624,chr11:64940716-64941715,1
chr14,chr14:96771200-96771800,ENSG00000258729,chr14:96740383-96741382,chr14:96743061-96744060,1
chrX,chrX:114412400-114414800,ENSG00000175718,chrX:114422963-114423962,chrX:114427432-114428431,1
chrX,chrX:148586600-148588200,ENSG00000010404,chrX:148557521-148558520,chrX:148615471-148616470,1
chrX,chrX:91029200-91029600,ENSG00000102290,chrX:91033260-91034259,chrX:91878230-91879229,1
chrX,chrX:130212200-130214200,ENSG00000147256,chrX:130191216-130192215,chrX:130223858-130224857,1
chr3,chr3:192988400-192989800,ENSG00000127252,chr3:192957914-192958913,chr3:192995528-192996527,1
chr3,chr3:192952600-192952800,ENSG00000127252,chr3:192957914-192958913,chr3:192995528-192996527,1
chrX,chrX:101924200-101925200,ENSG00000198932,chrX:101905294-101906293,chrX:101914012-101915011,1
chrX,chrX:107668800-107670600,ENSG00000197565,chrX:107385780-107386779,chrX:107682728-107683727,1
chr7,chr7:132321200-132322400,ENSG00000221866,chr7:131807091-131808090,chr7:132333448-132334447,1
chr11,chr11:119047800-119050000,ENSG00000172367,chr11:119055166-119056165,chr11:119060933-119061932,1
chr6,chr6:24359800-24361600,ENSG00000146049,chr6:24356131-24357130,chr6:24358513-24359512,1
chr1,chr1:36596000-36596800,ENSG00000171812,chr1:36559837-36560836,chr1:36590822-36591821,1
chrX,chrX:114448800-114449600,ENSG00000175718,chrX:114422963-114423962,chrX:114427432-114428431,1
chr3,chr3:137812600-137812800,ENSG00000158163,chr3:137779832-137780831,chr3:137834661-137835660,1
chr8,chr8:58925000-58927400,ENSG00000169122,chr8:58906068-58907067,chr8:59116839-59117838,1
chrX,chrX:110700600-110701200,ENSG00000077279,chrX:110536007-110537006,chrX:110655604-110656603,1
chr5,chr5:135700800-135701800,ENSG00000069018,chr5:135547999-135548998,chr5:135732731-135733730,1
chr5,chr5:80271800-80273800,ENSG00000113319,chr5:80255491-80256490,chr5:80525976-80526975,1
chr6,chr6:167678400-167679800,ENSG00000112494,chr6:167683657-167684656,chr6:167729508-167730507,1
chr11,chr11:56055800-56058200,ENSG00000181689,chr11:56084783-56085782,chr11:56086722-56087721,1
chrX,chrX:55188200-55188800,ENSG00000256045,chrX:55206824-55207823,chrX:55208945-55209944,1
chr9,chr9:3454800-3456400,ENSG00000203286,chr9:3451305-3452304,chr9:3469182-3470181,1
chr10,chr10:16568800-16570200,ENSG00000165985,chr10:16554742-16555741,chr10:16564005-16565004,1
chr1,chr1:209749600-209751200,ENSG00000008118,chr1:209756062-209757061,chr1:209787284-209788283,1
chrX,chrX:114406800-114408400,ENSG00000175718,chrX:114422963-114423962,chrX:114427432-114428431,1
chrX,chrX:114372000-114373600,ENSG00000175718,chrX:114422963-114423962,chrX:114427432-114428431,1
chrX,chrX:129498600-129499600,ENSG00000147262,chrX:129517319-129518318,chrX:129519512-129520511,1
chr8,chr8:103925600-103927800,ENSG00000155096,chr8:103837585-103838584,chr8:103906093-103907092,1
chrX,chrX:72673800-72674800,ENSG00000131264,chrX:72666090-72667089,chrX:72675082-72676081,1
chrX,chrX:139031600-139032400,ENSG00000101974,chrX:138807505-138808504,chrX:139027436-139028435,1
chr1,chr1:161202400-161203400,ENSG00000158882,chr1:161194793-161195792,chr1:161200409-161201408,1
chr10,chr10:118861600-118862400,ENSG00000148704,chr10:118887032-118888031,chr10:118897813-118898812,1
chr8,chr8:95242800-95243200,ENSG00000079112,chr8:95138399-95139398,chr8:95229532-95230531,1
chr1,chr1:230182000-230183800,ENSG00000143641,chr1:230192536-230193535,chr1:230417871-230418870,1
chrX,chrX:113857200-113858000,ENSG00000147246,chrX:113817551-113818550,chrX:114144625-114145624,1
chrX,chrX:107658200-107660600,ENSG00000197565,chrX:107385780-107386779,chrX:107682728-107683727,1
chrX,chrX:107668800-107670600,ENSG00000188153,chrX:107682074-107683073,chrX:107940776-107941775,1
chr7,chr7:48091800-48093800,ENSG00000164744,chr7:48025745-48026744,chr7:48068717-48069716,1
chrX,chrX:103551800-103552800,ENSG00000123576,chrX:103493719-103494718,chrX:103499615-103500614,1
chr16,chr16:56735200-56737200,ENSG00000205358,chr16:56702726-56703725,chr16:56705042-56706041,1
chrX,chrX:30248000-30249000,ENSG00000214107,chrX:30260847-30261846,chrX:30270156-30271155,1
chr17,chr17:44905600-44906400,ENSG00000158955,chr17:44909567-44910566,chr17:44964097-44965096,1
chrX,chrX:20009200-20010200,ENSG00000173681,chrX:19929978-19930977,chrX:19988417-19989416,1
chrX,chrX:132347000-132349200,ENSG00000183434,chrX:132349697-132350696,chrX:132352377-132353376,1
chr7,chr7:83326400-83328400,ENSG00000170381,chr7:82992222-82993221,chr7:83278327-83279326,1
chr6,chr6:127410800-127411800,ENSG00000146374,chr6:127438749-127439748,chr6:127518911-127519910,1
chr21,chr21:40940200-40942000,ENSG00000183778,chr21:40927369-40928368,chr21:41045065-41046064,1
chr3,chr3:8764400-8766800,ENSG00000182533,chr3:8774486-8775485,chr3:8883493-8884492,1
chr5,chr5:135716400-135718800,ENSG00000069018,chr5:135547999-135548998,chr5:135732731-135733730,1
chr13,chr13:100604600-100606200,ENSG00000139800,chr13:100614218-100615217,chr13:100624164-100625163,1
chr11,chr11:27046000-27048400,ENSG00000129151,chr11:27061272-27062271,chr11:27149357-27150356,1
chrX,chrX:122335800-122336600,ENSG00000125675,chrX:122317006-122318005,chrX:122624767-122625766,1
chrX,chrX:22274800-22275800,ENSG00000175809,chrX:22290065-22291064,chrX:22292575-22293574,1
chr3,chr3:150674000-150675400,ENSG00000163646,chr3:150642950-150643949,chr3:150690787-150691786,1
chr3,chr3:44921400-44922400,ENSG00000163810,chr3:44915100-44916099,chr3:44956483-44957482,1
chrX,chrX:82781200-82782600,ENSG00000196767,chrX:82762269-82763268,chrX:82764776-82765775,1
chr12,chr12:21698400-21700800,ENSG00000134548,chr12:21678241-21679240,chr12:21690312-21691311,1
chr20,chr20:33553000-33554600,ENSG00000078814,chr20:33562206-33563205,chr20:33590241-33591240,1
